city,raw_data
Denver,"Denver: Partly cloudy +73°F 30% ↙8mph
    "
London,"London: Sunny +83°F 45% ↗13mph
    "
Tokyo,"Tokyo: Patchy rain nearby +73°F 93% ←3mph
    "
Sydney,"Sydney: Clear  +58°F 67% ↘9mph
    "
Cairo,"Cairo: Partly cloudy +90°F 36% ↘19mph
    "
Moscow,"Moscow: Light Rain With Thunderstorm +65°F 73% ↘4mph
    "
Mumbai,"Mumbai: Haze +88°F 66% ↗9mph
    "
Toronto,"Toronto: Partly cloudy +70°F 60% →15mph
    "
Paris,"Paris: Sunny +97°F 21% →9mph
    "
Berlin,"Berlin: Patchy light rain in area with thunder +85°F 55% ↓9mph
    "
